timestamp, power.draw [W]
2022/11/17 15:55:49.587, 43.85 W
2022/11/17 15:55:49.690, 42.65 W
2022/11/17 15:55:49.793, 42.65 W
2022/11/17 15:55:49.896, 42.65 W
2022/11/17 15:55:49.999, 42.65 W
2022/11/17 15:55:50.105, 42.36 W
2022/11/17 15:55:50.208, 43.65 W
2022/11/17 15:55:50.335, 44.44 W
2022/11/17 15:55:50.439, 45.24 W
2022/11/17 15:55:50.542, 45.23 W
2022/11/17 15:55:50.648, 68.88 W
2022/11/17 15:55:50.751, 68.88 W
2022/11/17 15:55:50.857, 69.05 W
2022/11/17 15:55:50.960, 68.97 W
2022/11/17 15:55:51.064, 69.07 W
2022/11/17 15:55:51.169, 69.18 W
2022/11/17 15:55:51.272, 68.97 W
2022/11/17 15:55:51.380, 69.25 W
2022/11/17 15:55:51.482, 69.27 W
2022/11/17 15:55:51.588, 69.05 W
2022/11/17 15:55:51.691, 65.79 W
2022/11/17 15:55:51.793, 65.32 W
2022/11/17 15:55:51.896, 65.13 W
2022/11/17 15:55:51.998, 66.14 W
2022/11/17 15:55:52.101, 65.82 W
2022/11/17 15:55:52.205, 65.73 W
2022/11/17 15:55:52.308, 65.82 W
2022/11/17 15:55:52.410, 65.92 W
2022/11/17 15:55:52.513, 65.73 W
2022/11/17 15:55:52.615, 65.84 W
2022/11/17 15:55:52.718, 65.71 W
2022/11/17 15:55:52.820, 66.89 W
2022/11/17 15:55:52.923, 65.71 W
2022/11/17 15:55:53.027, 65.51 W
2022/11/17 15:55:53.132, 65.13 W
2022/11/17 15:55:53.235, 65.52 W
2022/11/17 15:55:53.338, 65.33 W
2022/11/17 15:55:53.443, 42.65 W
2022/11/17 15:55:53.546, 42.95 W
2022/11/17 15:55:53.649, 42.46 W
2022/11/17 15:55:53.752, 42.56 W
2022/11/17 15:55:53.857, 42.65 W
2022/11/17 15:55:53.960, 42.46 W
2022/11/17 15:55:54.063, 42.54 W
2022/11/17 15:55:54.166, 42.75 W
2022/11/17 15:55:54.269, 42.65 W
2022/11/17 15:55:54.372, 42.65 W
2022/11/17 15:55:54.475, 42.46 W
2022/11/17 15:55:54.578, 42.56 W
2022/11/17 15:55:54.682, 42.36 W
2022/11/17 15:55:54.785, 42.65 W
2022/11/17 15:55:54.888, 42.26 W
2022/11/17 15:55:54.990, 42.24 W
2022/11/17 15:55:55.093, 42.15 W
2022/11/17 15:55:55.266, 43.24 W
2022/11/17 15:55:55.372, 46.79 W
2022/11/17 15:55:55.483, 47.59 W
2022/11/17 15:55:55.599, 47.49 W
2022/11/17 15:55:55.714, 80.27 W
2022/11/17 15:55:55.833, 79.68 W
2022/11/17 15:55:55.944, 79.68 W
