timestamp, power.draw [W]
2022/11/21 17:02:15.809, 42.95 W
2022/11/21 17:02:15.824, 42.95 W
2022/11/21 17:02:15.852, 42.95 W
2022/11/21 17:02:15.867, 42.95 W
2022/11/21 17:02:15.880, 42.95 W
2022/11/21 17:02:15.894, 42.95 W
2022/11/21 17:02:15.921, 42.95 W
2022/11/21 17:02:15.937, 42.95 W
2022/11/21 17:02:15.969, 42.95 W
2022/11/21 17:02:15.982, 42.95 W
2022/11/21 17:02:15.995, 42.95 W
2022/11/21 17:02:16.008, 44.05 W
2022/11/21 17:02:16.021, 44.05 W
2022/11/21 17:02:16.034, 44.05 W
2022/11/21 17:02:16.047, 44.05 W
2022/11/21 17:02:16.060, 44.05 W
2022/11/21 17:02:16.074, 44.05 W
2022/11/21 17:02:16.089, 44.05 W
2022/11/21 17:02:16.102, 44.05 W
2022/11/21 17:02:16.123, 44.05 W
2022/11/21 17:02:16.135, 44.05 W
2022/11/21 17:02:16.148, 44.05 W
2022/11/21 17:02:16.160, 44.05 W
2022/11/21 17:02:16.175, 44.05 W
2022/11/21 17:02:16.188, 44.05 W
2022/11/21 17:02:16.200, 50.93 W
2022/11/21 17:02:16.212, 50.93 W
2022/11/21 17:02:16.225, 50.93 W
2022/11/21 17:02:16.237, 50.93 W
2022/11/21 17:02:16.250, 50.93 W
2022/11/21 17:02:16.262, 50.93 W
2022/11/21 17:02:16.276, 50.93 W
2022/11/21 17:02:16.289, 50.93 W
2022/11/21 17:02:16.301, 51.05 W
2022/11/21 17:02:16.313, 51.05 W
2022/11/21 17:02:16.326, 51.05 W
2022/11/21 17:02:16.339, 51.05 W
2022/11/21 17:02:16.351, 51.05 W
2022/11/21 17:02:16.364, 51.05 W
2022/11/21 17:02:16.377, 51.05 W
2022/11/21 17:02:16.389, 51.05 W
2022/11/21 17:02:16.402, 51.15 W
2022/11/21 17:02:16.414, 51.15 W
2022/11/21 17:02:16.427, 51.15 W
2022/11/21 17:02:16.439, 51.15 W
2022/11/21 17:02:16.451, 51.15 W
2022/11/21 17:02:16.464, 51.15 W
2022/11/21 17:02:16.477, 51.15 W
2022/11/21 17:02:16.490, 51.15 W
2022/11/21 17:02:16.502, 51.04 W
2022/11/21 17:02:16.514, 51.04 W
2022/11/21 17:02:16.527, 51.04 W
2022/11/21 17:02:16.539, 51.04 W
2022/11/21 17:02:16.552, 51.04 W
2022/11/21 17:02:16.564, 51.04 W
2022/11/21 17:02:16.578, 51.04 W
2022/11/21 17:02:16.590, 51.04 W
2022/11/21 17:02:16.603, 51.05 W
2022/11/21 17:02:16.619, 51.05 W
2022/11/21 17:02:16.631, 51.05 W
2022/11/21 17:02:16.644, 51.05 W
2022/11/21 17:02:16.659, 51.05 W
2022/11/21 17:02:16.671, 51.05 W
2022/11/21 17:02:16.683, 51.05 W
2022/11/21 17:02:16.696, 51.05 W
2022/11/21 17:02:16.708, 51.25 W
2022/11/21 17:02:16.721, 51.25 W
2022/11/21 17:02:16.734, 51.25 W
2022/11/21 17:02:16.746, 51.25 W
2022/11/21 17:02:16.759, 51.25 W
2022/11/21 17:02:16.772, 51.25 W
2022/11/21 17:02:16.784, 51.25 W
2022/11/21 17:02:16.797, 51.25 W
2022/11/21 17:02:16.809, 51.35 W
2022/11/21 17:02:16.821, 51.35 W
2022/11/21 17:02:16.834, 51.35 W
2022/11/21 17:02:16.846, 51.35 W
2022/11/21 17:02:16.860, 51.35 W
2022/11/21 17:02:16.872, 51.35 W
2022/11/21 17:02:16.885, 51.35 W
2022/11/21 17:02:16.897, 51.35 W
2022/11/21 17:02:16.909, 51.05 W
2022/11/21 17:02:16.922, 51.05 W
2022/11/21 17:02:16.934, 51.05 W
2022/11/21 17:02:16.947, 51.05 W
2022/11/21 17:02:16.960, 51.05 W
2022/11/21 17:02:16.973, 51.05 W
2022/11/21 17:02:16.985, 51.05 W
2022/11/21 17:02:16.997, 51.05 W
2022/11/21 17:02:17.010, 51.15 W
2022/11/21 17:02:17.022, 51.15 W
2022/11/21 17:02:17.035, 51.15 W
2022/11/21 17:02:17.047, 51.15 W
2022/11/21 17:02:17.061, 51.15 W
2022/11/21 17:02:17.073, 51.15 W
2022/11/21 17:02:17.086, 51.15 W
2022/11/21 17:02:17.098, 51.15 W
2022/11/21 17:02:17.110, 51.15 W
2022/11/21 17:02:17.123, 51.15 W
2022/11/21 17:02:17.136, 51.15 W
2022/11/21 17:02:17.148, 51.15 W
2022/11/21 17:02:17.161, 51.15 W
2022/11/21 17:02:17.174, 51.15 W
2022/11/21 17:02:17.186, 51.15 W
2022/11/21 17:02:17.199, 51.15 W
2022/11/21 17:02:17.211, 51.15 W
2022/11/21 17:02:17.223, 51.15 W
2022/11/21 17:02:17.236, 51.15 W
2022/11/21 17:02:17.248, 51.15 W
2022/11/21 17:02:17.262, 51.15 W
2022/11/21 17:02:17.274, 51.15 W
2022/11/21 17:02:17.287, 51.15 W
2022/11/21 17:02:17.302, 51.15 W
2022/11/21 17:02:17.314, 51.35 W
2022/11/21 17:02:17.327, 51.35 W
2022/11/21 17:02:17.339, 51.35 W
2022/11/21 17:02:17.351, 51.35 W
2022/11/21 17:02:17.364, 51.35 W
2022/11/21 17:02:17.376, 51.35 W
2022/11/21 17:02:17.389, 51.35 W
2022/11/21 17:02:17.403, 51.35 W
2022/11/21 17:02:17.415, 51.25 W
2022/11/21 17:02:17.428, 51.25 W
2022/11/21 17:02:17.440, 51.25 W
2022/11/21 17:02:17.453, 51.25 W
2022/11/21 17:02:17.465, 51.25 W
2022/11/21 17:02:17.478, 51.25 W
2022/11/21 17:02:17.490, 51.25 W
2022/11/21 17:02:17.503, 51.25 W
2022/11/21 17:02:17.516, 51.25 W
2022/11/21 17:02:17.528, 51.25 W
2022/11/21 17:02:17.541, 51.25 W
2022/11/21 17:02:17.553, 51.25 W
