Sampling current and voltage from /sys/devices/pci0000:c0/0000:c0:01.1/0000:c3:00.1/xmc.u.19922944
Cadence = 0.1 seconds
Time, Current, Voltage
2022-11-17T13:25:07,207340312+0000, 1358, 12301
2022-11-17T13:25:07,316957711+0000, 1358, 12301
2022-11-17T13:25:07,424946648+0000, 1358, 12301
2022-11-17T13:25:07,532875942+0000, 1358, 12301
2022-11-17T13:25:07,640384607+0000, 1358, 12301
2022-11-17T13:25:07,748045689+0000, 1358, 12301
2022-11-17T13:25:07,855494993+0000, 1358, 12301
2022-11-17T13:25:07,962453136+0000, 1358, 12301
2022-11-17T13:25:08,069663923+0000, 1358, 12301
2022-11-17T13:25:08,177242099+0000, 1358, 12301
